file,roi,corrtype,hemi,cb_idx,nvoxels,t
perm_vsm4_IPS2_rh_partial_tstat1.nii,IPS2,partial,rh,1.0,75,5.21
perm_vsm4_IPS2_rh_partial_tstat1.nii,IPS2,partial,rh,2.0,159,6.25
perm_vsm4_IPS2_rh_partial_tstat1.nii,IPS2,partial,rh,3.0,183,6.72
perm_vsm4_IPS2_rh_partial_tstat1.nii,IPS2,partial,rh,4.0,159,5.67
perm_vsm4_IPS2_rh_partial_tstat1.nii,IPS2,partial,rh,5.0,159,7.03
perm_vsm4_IPS2_rh_partial_tstat1.nii,IPS2,partial,rh,6.0,124,6.75
perm_vsm4_IPS2_rh_partial_tstat1.nii,IPS2,partial,rh,7.0,32,6.86
perm_vsm4_IPS2_rh_partial_tstat1.nii,IPS2,partial,rh,8.0,67,5.29
perm_vsm4_IPS2_rh_partial_tstat1.nii,IPS2,partial,rh,9.0,17,5.02
perm_vsm4_IPS2_rh_partial_tstat1.nii,IPS2,partial,rh,10.0,38,4.28
perm_vsm4_IPS3_lh_pearson_tstat1.nii,IPS3,pearson,lh,0.0,901616,0.05
perm_vsm4_IPS3_lh_pearson_tstat1.nii,IPS3,pearson,lh,1.0,75,8.93
perm_vsm4_IPS3_lh_pearson_tstat1.nii,IPS3,pearson,lh,2.0,159,11.19
perm_vsm4_IPS3_lh_pearson_tstat1.nii,IPS3,pearson,lh,3.0,183,9.76
perm_vsm4_IPS3_lh_pearson_tstat1.nii,IPS3,pearson,lh,4.0,159,7.59
perm_vsm4_IPS3_lh_pearson_tstat1.nii,IPS3,pearson,lh,5.0,159,10.27
perm_vsm4_IPS3_lh_pearson_tstat1.nii,IPS3,pearson,lh,6.0,124,10.11
perm_vsm4_IPS3_lh_pearson_tstat1.nii,IPS3,pearson,lh,7.0,32,9.44
perm_vsm4_IPS3_lh_pearson_tstat1.nii,IPS3,pearson,lh,8.0,67,7.77
perm_vsm4_IPS3_lh_pearson_tstat1.nii,IPS3,pearson,lh,9.0,17,7.14
perm_vsm4_IPS3_lh_pearson_tstat1.nii,IPS3,pearson,lh,10.0,38,7.06
perm_vsm4_IPS3_rh_pearson_tstat1.nii,IPS3,pearson,rh,0.0,901616,0.06
perm_vsm4_IPS3_rh_pearson_tstat1.nii,IPS3,pearson,rh,1.0,75,10.46
perm_vsm4_IPS3_rh_pearson_tstat1.nii,IPS3,pearson,rh,2.0,159,12.43
perm_vsm4_IPS3_rh_pearson_tstat1.nii,IPS3,pearson,rh,3.0,183,12.78
perm_vsm4_IPS3_rh_pearson_tstat1.nii,IPS3,pearson,rh,4.0,159,8.69
perm_vsm4_IPS3_rh_pearson_tstat1.nii,IPS3,pearson,rh,5.0,159,12.71
perm_vsm4_IPS3_rh_pearson_tstat1.nii,IPS3,pearson,rh,6.0,124,12.50
perm_vsm4_IPS3_rh_pearson_tstat1.nii,IPS3,pearson,rh,7.0,32,11.51
perm_vsm4_IPS3_rh_pearson_tstat1.nii,IPS3,pearson,rh,8.0,67,9.91
perm_vsm4_IPS3_rh_pearson_tstat1.nii,IPS3,pearson,rh,9.0,17,8.39
perm_vsm4_IPS3_rh_pearson_tstat1.nii,IPS3,pearson,rh,10.0,38,8.76
perm_vsm4_IPS3_bilat_pearson_tstat1.nii,IPS3,pearson,bilat,0.0,901616,0.06
perm_vsm4_IPS3_bilat_pearson_tstat1.nii,IPS3,pearson,bilat,1.0,75,10.47
perm_vsm4_IPS3_bilat_pearson_tstat1.nii,IPS3,pearson,bilat,2.0,159,12.95
perm_vsm4_IPS3_bilat_pearson_tstat1.nii,IPS3,pearson,bilat,3.0,183,12.26
perm_vsm4_IPS3_bilat_pearson_tstat1.nii,IPS3,pearson,bilat,4.0,159,8.99
perm_vsm4_IPS3_bilat_pearson_tstat1.nii,IPS3,pearson,bilat,5.0,159,12.48
perm_vsm4_IPS3_bilat_pearson_tstat1.nii,IPS3,pearson,bilat,6.0,124,12.20
perm_vsm4_IPS3_bilat_pearson_tstat1.nii,IPS3,pearson,bilat,7.0,32,11.34
perm_vsm4_IPS3_bilat_pearson_tstat1.nii,IPS3,pearson,bilat,8.0,67,9.47
perm_vsm4_IPS3_bilat_pearson_tstat1.nii,IPS3,pearson,bilat,9.0,17,8.48
perm_vsm4_IPS3_bilat_pearson_tstat1.nii,IPS3,pearson,bilat,10.0,38,8.58
perm_vsm4_IPS3_lh_partial_tstat1.nii,IPS3,partial,lh,0.0,901616,0.04
perm_vsm4_IPS3_lh_partial_tstat1.nii,IPS3,partial,lh,1.0,75,5.78
perm_vsm4_IPS3_lh_partial_tstat1.nii,IPS3,partial,lh,2.0,159,7.03
perm_vsm4_IPS3_lh_partial_tstat1.nii,IPS3,partial,lh,3.0,183,4.72
perm_vsm4_IPS3_lh_partial_tstat1.nii,IPS3,partial,lh,4.0,159,4.70
perm_vsm4_IPS3_lh_partial_tstat1.nii,IPS3,partial,lh,5.0,159,5.38
perm_vsm4_IPS3_lh_partial_tstat1.nii,IPS3,partial,lh,6.0,124,5.94
perm_vsm4_IPS3_lh_partial_tstat1.nii,IPS3,partial,lh,7.0,32,5.26
perm_vsm4_IPS3_lh_partial_tstat1.nii,IPS3,partial,lh,8.0,67,4.11
perm_vsm4_IPS3_lh_partial_tstat1.nii,IPS3,partial,lh,9.0,17,4.32
perm_vsm4_IPS3_lh_partial_tstat1.nii,IPS3,partial,lh,10.0,38,4.03
perm_vsm4_IPS3_rh_partial_tstat1.nii,IPS3,partial,rh,0.0,901616,0.05
perm_vsm4_IPS3_rh_partial_tstat1.nii,IPS3,partial,rh,1.0,75,7.40
perm_vsm4_IPS3_rh_partial_tstat1.nii,IPS3,partial,rh,2.0,159,8.64
perm_vsm4_IPS3_rh_partial_tstat1.nii,IPS3,partial,rh,3.0,183,10.38
perm_vsm4_IPS3_rh_partial_tstat1.nii,IPS3,partial,rh,4.0,159,6.67
perm_vsm4_IPS3_rh_partial_tstat1.nii,IPS3,partial,rh,5.0,159,10.63
perm_vsm4_IPS3_rh_partial_tstat1.nii,IPS3,partial,rh,6.0,124,9.93
perm_vsm4_IPS3_rh_partial_tstat1.nii,IPS3,partial,rh,7.0,32,9.31
perm_vsm4_IPS3_rh_partial_tstat1.nii,IPS3,partial,rh,8.0,67,8.22
perm_vsm4_IPS3_rh_partial_tstat1.nii,IPS3,partial,rh,9.0,17,6.47
perm_vsm4_IPS3_rh_partial_tstat1.nii,IPS3,partial,rh,10.0,38,6.92
perm_vsm4_IPS4_lh_pearson_tstat1.nii,IPS4,pearson,lh,0.0,901616,0.06
perm_vsm4_IPS4_lh_pearson_tstat1.nii,IPS4,pearson,lh,1.0,75,8.28
perm_vsm4_IPS4_lh_pearson_tstat1.nii,IPS4,pearson,lh,2.0,159,10.24
perm_vsm4_IPS4_lh_pearson_tstat1.nii,IPS4,pearson,lh,3.0,183,9.23
perm_vsm4_IPS4_lh_pearson_tstat1.nii,IPS4,pearson,lh,4.0,159,7.45
perm_vsm4_IPS4_lh_pearson_tstat1.nii,IPS4,pearson,lh,5.0,159,10.46
