"","file","roi","corrtype","hemi","cb_idx","nvoxels","t"
"185","perm_vsm4_IPS2_rh_pearson_tstat1.nii","IPS2","pearson","rh","left_lOMV","67","9.01"
"186","perm_vsm4_IPS2_rh_pearson_tstat1.nii","IPS2","pearson","rh","right_mOMV","17","9.07"
"187","perm_vsm4_IPS2_rh_pearson_tstat1.nii","IPS2","pearson","rh","right_lOMV","38","8.17"
"188","perm_vsm4_IPS2_bilat_pearson_tstat1.nii","IPS2","pearson","bilat","Unassigned","901616","0.1"
"189","perm_vsm4_IPS2_bilat_pearson_tstat1.nii","IPS2","pearson","bilat","right_lVIIIb","75","12.85"
"190","perm_vsm4_IPS2_bilat_pearson_tstat1.nii","IPS2","pearson","bilat","right_mVIIIb","159","15.56"
"191","perm_vsm4_IPS2_bilat_pearson_tstat1.nii","IPS2","pearson","bilat","left_mVIIIb","183","13.84"
"192","perm_vsm4_IPS2_bilat_pearson_tstat1.nii","IPS2","pearson","bilat","left_lVIIIb","159","11.4"
"193","perm_vsm4_IPS2_bilat_pearson_tstat1.nii","IPS2","pearson","bilat","left_VIIb","159","12.07"
"194","perm_vsm4_IPS2_bilat_pearson_tstat1.nii","IPS2","pearson","bilat","right_VIIb","124","12.53"
"195","perm_vsm4_IPS2_bilat_pearson_tstat1.nii","IPS2","pearson","bilat","left_mOMV","32","11.99"
"196","perm_vsm4_IPS2_bilat_pearson_tstat1.nii","IPS2","pearson","bilat","left_lOMV","67","9.51"
"197","perm_vsm4_IPS2_bilat_pearson_tstat1.nii","IPS2","pearson","bilat","right_mOMV","17","9.51"
"198","perm_vsm4_IPS2_bilat_pearson_tstat1.nii","IPS2","pearson","bilat","right_lOMV","38","8.73"
"199","perm_vsm4_IPS2_lh_partial_tstat1.nii","IPS2","partial","lh","Unassigned","901616","0.05"
"200","perm_vsm4_IPS2_lh_partial_tstat1.nii","IPS2","partial","lh","right_lVIIIb","75","7.29"
"201","perm_vsm4_IPS2_lh_partial_tstat1.nii","IPS2","partial","lh","right_mVIIIb","159","8.34"
"202","perm_vsm4_IPS2_lh_partial_tstat1.nii","IPS2","partial","lh","left_mVIIIb","183","6.3"
"203","perm_vsm4_IPS2_lh_partial_tstat1.nii","IPS2","partial","lh","left_lVIIIb","159","5.17"
"204","perm_vsm4_IPS2_lh_partial_tstat1.nii","IPS2","partial","lh","left_VIIb","159","5.14"
"205","perm_vsm4_IPS2_lh_partial_tstat1.nii","IPS2","partial","lh","right_VIIb","124","6.02"
"206","perm_vsm4_IPS2_lh_partial_tstat1.nii","IPS2","partial","lh","left_mOMV","32","5.58"
"207","perm_vsm4_IPS2_lh_partial_tstat1.nii","IPS2","partial","lh","left_lOMV","67","4.61"
"208","perm_vsm4_IPS2_lh_partial_tstat1.nii","IPS2","partial","lh","right_mOMV","17","4.66"
"209","perm_vsm4_IPS2_lh_partial_tstat1.nii","IPS2","partial","lh","right_lOMV","38","4.45"
"210","perm_vsm4_IPS2_rh_partial_tstat1.nii","IPS2","partial","rh","Unassigned","901616","0.05"
"211","perm_vsm4_IPS2_rh_partial_tstat1.nii","IPS2","partial","rh","right_lVIIIb","75","5.21"
"212","perm_vsm4_IPS2_rh_partial_tstat1.nii","IPS2","partial","rh","right_mVIIIb","159","6.25"
"213","perm_vsm4_IPS2_rh_partial_tstat1.nii","IPS2","partial","rh","left_mVIIIb","183","6.72"
"214","perm_vsm4_IPS2_rh_partial_tstat1.nii","IPS2","partial","rh","left_lVIIIb","159","5.67"
"215","perm_vsm4_IPS2_rh_partial_tstat1.nii","IPS2","partial","rh","left_VIIb","159","7.03"
"216","perm_vsm4_IPS2_rh_partial_tstat1.nii","IPS2","partial","rh","right_VIIb","124","6.75"
"217","perm_vsm4_IPS2_rh_partial_tstat1.nii","IPS2","partial","rh","left_mOMV","32","6.86"
"218","perm_vsm4_IPS2_rh_partial_tstat1.nii","IPS2","partial","rh","left_lOMV","67","5.29"
"219","perm_vsm4_IPS2_rh_partial_tstat1.nii","IPS2","partial","rh","right_mOMV","17","5.02"
"220","perm_vsm4_IPS2_rh_partial_tstat1.nii","IPS2","partial","rh","right_lOMV","38","4.28"
"221","perm_vsm4_IPS3_lh_pearson_tstat1.nii","IPS3","pearson","lh","Unassigned","901616","0.05"
"222","perm_vsm4_IPS3_lh_pearson_tstat1.nii","IPS3","pearson","lh","right_lVIIIb","75","8.93"
"223","perm_vsm4_IPS3_lh_pearson_tstat1.nii","IPS3","pearson","lh","right_mVIIIb","159","11.19"
"224","perm_vsm4_IPS3_lh_pearson_tstat1.nii","IPS3","pearson","lh","left_mVIIIb","183","9.76"
"225","perm_vsm4_IPS3_lh_pearson_tstat1.nii","IPS3","pearson","lh","left_lVIIIb","159","7.59"
"226","perm_vsm4_IPS3_lh_pearson_tstat1.nii","IPS3","pearson","lh","left_VIIb","159","10.27"
"227","perm_vsm4_IPS3_lh_pearson_tstat1.nii","IPS3","pearson","lh","right_VIIb","124","10.11"
"228","perm_vsm4_IPS3_lh_pearson_tstat1.nii","IPS3","pearson","lh","left_mOMV","32","9.44"
"229","perm_vsm4_IPS3_lh_pearson_tstat1.nii","IPS3","pearson","lh","left_lOMV","67","7.77"
"230","perm_vsm4_IPS3_lh_pearson_tstat1.nii","IPS3","pearson","lh","right_mOMV","17","7.14"
"231","perm_vsm4_IPS3_lh_pearson_tstat1.nii","IPS3","pearson","lh","right_lOMV","38","7.06"
"232","perm_vsm4_IPS3_rh_pearson_tstat1.nii","IPS3","pearson","rh","Unassigned","901616","0.06"
"233","perm_vsm4_IPS3_rh_pearson_tstat1.nii","IPS3","pearson","rh","right_lVIIIb","75","10.46"
"234","perm_vsm4_IPS3_rh_pearson_tstat1.nii","IPS3","pearson","rh","right_mVIIIb","159","12.43"
"235","perm_vsm4_IPS3_rh_pearson_tstat1.nii","IPS3","pearson","rh","left_mVIIIb","183","12.78"
"236","perm_vsm4_IPS3_rh_pearson_tstat1.nii","IPS3","pearson","rh","left_lVIIIb","159","8.69"
"237","perm_vsm4_IPS3_rh_pearson_tstat1.nii","IPS3","pearson","rh","left_VIIb","159","12.71"
"238","perm_vsm4_IPS3_rh_pearson_tstat1.nii","IPS3","pearson","rh","right_VIIb","124","12.5"
"239","perm_vsm4_IPS3_rh_pearson_tstat1.nii","IPS3","pearson","rh","left_mOMV","32","11.51"
"240","perm_vsm4_IPS3_rh_pearson_tstat1.nii","IPS3","pearson","rh","left_lOMV","67","9.91"
"241","perm_vsm4_IPS3_rh_pearson_tstat1.nii","IPS3","pearson","rh","right_mOMV","17","8.39"
"242","perm_vsm4_IPS3_rh_pearson_tstat1.nii","IPS3","pearson","rh","right_lOMV","38","8.76"
"243","perm_vsm4_IPS3_bilat_pearson_tstat1.nii","IPS3","pearson","bilat","Unassigned","901616","0.06"
